product_id,product_name,category,unit_cost,unit_price,reorder_point,reorder_qty,supplier,lead_time_days
P001,Wireless Earbuds,Electronics,91.78,189.35,16,32,Supplier B,14
P002,Bluetooth Speaker,Electronics,137.35,231.35,12,35,Supplier C,7
P003,Smart Watch,Electronics,192.57,346.79,13,27,Supplier D,14
P004,Phone Charger,Electronics,213.83,422.17,11,26,Supplier E,10
P005,USB-C Cable,Electronics,52.6,83.01,11,68,Supplier F,3
P006,Power Bank,Electronics,74.7,135.12,15,52,Supplier A,10
P007,Laptop Sleeve,Electronics,90.1,152.45,8,68,Supplier B,10
P008,Wireless Mouse,Electronics,136.44,188.95,8,31,Supplier C,14
P009,Webcam HD,Electronics,107.35,145.99,14,38,Supplier D,5
P010,Screen Protector,Electronics,94.01,128.04,7,44,Supplier E,10
P011,Ceramic Mug Set,Home & Kitchen,105.23,151.69,13,59,Supplier F,3
P012,Non-Stick Pan,Home & Kitchen,68.05,125.68,7,30,Supplier A,5
P013,Electric Kettle,Home & Kitchen,131.38,180.45,7,50,Supplier B,10
P014,Blender,Home & Kitchen,207.6,419.58,13,38,Supplier C,10
P015,Cutlery Set,Home & Kitchen,24.27,38.69,7,48,Supplier D,5
P016,Storage Containers,Home & Kitchen,212.88,384.31,14,53,Supplier E,14
P017,Table Lamp,Home & Kitchen,30.28,63.29,13,25,Supplier F,10
P018,Throw Pillow,Home & Kitchen,75.17,102.27,8,41,Supplier A,7
P019,Bath Towel Set,Home & Kitchen,176.99,319.37,15,63,Supplier B,5
P020,Air Freshener,Home & Kitchen,38.75,77.4,13,36,Supplier C,5
P021,Cotton T-Shirt,Apparel,34.56,56.27,13,61,Supplier D,7
P022,Denim Jeans,Apparel,136.22,211.96,8,25,Supplier E,7
P023,Running Shoes,Apparel,39.52,74.49,6,29,Supplier F,5
P024,Wool Sweater,Apparel,63.38,97.74,16,33,Supplier A,5
P025,Baseball Cap,Apparel,20.21,28.92,12,56,Supplier B,10
P026,Leather Belt,Apparel,201.05,309.01,16,53,Supplier C,10
P027,Rain Jacket,Apparel,208.28,374.73,8,46,Supplier D,10
P028,Sports Socks,Apparel,205.59,402.15,14,30,Supplier E,10
P029,Sunglasses,Apparel,179.75,267.81,16,52,Supplier F,3
P030,Backpack,Apparel,80.19,114.88,14,51,Supplier A,3
P031,Face Moisturizer,Beauty & Personal Care,182.69,364.57,12,30,Supplier B,7
P032,Shampoo 500ml,Beauty & Personal Care,100.57,152.52,8,66,Supplier C,10
P033,Sunscreen SPF50,Beauty & Personal Care,65.05,96.03,13,65,Supplier D,10
P034,Lip Balm Set,Beauty & Personal Care,89.54,186.14,9,36,Supplier E,5
P035,Hair Dryer,Beauty & Personal Care,161.02,235.26,13,41,Supplier F,7
P036,Electric Toothbrush,Beauty & Personal Care,139.96,241.71,11,47,Supplier A,14
P037,Perfume 100ml,Beauty & Personal Care,85.74,156.54,7,68,Supplier B,5
P038,Body Lotion,Beauty & Personal Care,217.06,332.44,9,35,Supplier C,7
P039,Nail Care Kit,Beauty & Personal Care,64.64,126.2,10,58,Supplier D,7
P040,Makeup Brush Set,Beauty & Personal Care,182.37,355.4,14,30,Supplier E,14
