sale_id,date,store_id,product_id,quantity_sold,unit_price,discount_pct,total_amount
SL0000001,2025-01-01,ST01,P001,1,189.35,0.15,160.95
SL0000002,2025-01-01,ST02,P001,1,189.35,0.0,189.35
SL0000003,2025-01-01,ST03,P001,1,189.35,0.0,189.35
SL0000004,2025-01-01,ST04,P001,1,189.35,0.0,189.35
SL0000005,2025-01-01,ST03,P002,2,231.35,0.1,416.43
SL0000006,2025-01-01,ST05,P002,1,231.35,0.0,231.35
SL0000007,2025-01-01,ST03,P003,1,346.79,0.0,346.79
SL0000008,2025-01-01,ST02,P004,3,422.17,0.0,1266.51
SL0000009,2025-01-01,ST03,P004,1,422.17,0.0,422.17
SL0000010,2025-01-01,ST05,P004,3,422.17,0.15,1076.53
SL0000011,2025-01-01,ST02,P006,1,135.12,0.0,135.12
SL0000012,2025-01-01,ST05,P006,1,135.12,0.1,121.61
SL0000013,2025-01-01,ST02,P007,1,152.45,0.2,121.96
SL0000014,2025-01-01,ST03,P007,1,152.45,0.0,152.45
SL0000015,2025-01-01,ST01,P008,1,188.95,0.0,188.95
SL0000016,2025-01-01,ST03,P008,1,188.95,0.0,188.95
SL0000017,2025-01-01,ST01,P009,1,145.99,0.0,145.99
SL0000018,2025-01-01,ST02,P009,2,145.99,0.0,291.98
SL0000019,2025-01-01,ST01,P010,3,128.04,0.2,307.3
SL0000020,2025-01-01,ST02,P010,1,128.04,0.0,128.04
SL0000021,2025-01-01,ST04,P010,1,128.04,0.0,128.04
SL0000022,2025-01-01,ST01,P011,1,151.69,0.0,151.69
SL0000023,2025-01-01,ST03,P011,1,151.69,0.0,151.69
SL0000024,2025-01-01,ST04,P011,1,151.69,0.0,151.69
SL0000025,2025-01-01,ST05,P011,1,151.69,0.1,136.52
SL0000026,2025-01-01,ST01,P012,2,125.68,0.0,251.36
SL0000027,2025-01-01,ST02,P012,1,125.68,0.0,125.68
SL0000028,2025-01-01,ST03,P012,1,125.68,0.0,125.68
SL0000029,2025-01-01,ST05,P012,2,125.68,0.0,251.36
SL0000030,2025-01-01,ST03,P013,1,180.45,0.15,153.38
SL0000031,2025-01-01,ST01,P014,4,419.58,0.1,1510.49
SL0000032,2025-01-01,ST04,P014,1,419.58,0.0,419.58
SL0000033,2025-01-01,ST05,P014,1,419.58,0.0,419.58
SL0000034,2025-01-01,ST02,P015,1,38.69,0.0,38.69
SL0000035,2025-01-01,ST04,P015,1,38.69,0.0,38.69
SL0000036,2025-01-01,ST03,P016,1,384.31,0.0,384.31
SL0000037,2025-01-01,ST04,P016,1,384.31,0.0,384.31
SL0000038,2025-01-01,ST05,P016,3,384.31,0.2,922.34
SL0000039,2025-01-01,ST01,P017,4,63.29,0.0,253.16
SL0000040,2025-01-01,ST02,P017,2,63.29,0.0,126.58
SL0000041,2025-01-01,ST03,P017,2,63.29,0.0,126.58
SL0000042,2025-01-01,ST05,P017,1,63.29,0.0,63.29
SL0000043,2025-01-01,ST05,P018,1,102.27,0.1,92.04
SL0000044,2025-01-01,ST02,P019,1,319.37,0.0,319.37
SL0000045,2025-01-01,ST04,P019,3,319.37,0.0,958.11
SL0000046,2025-01-01,ST02,P020,1,77.4,0.0,77.4
SL0000047,2025-01-01,ST03,P020,1,77.4,0.0,77.4
SL0000048,2025-01-01,ST05,P020,1,77.4,0.0,77.4
SL0000049,2025-01-01,ST02,P021,1,56.27,0.0,56.27
SL0000050,2025-01-01,ST05,P021,1,56.27,0.0,56.27
SL0000051,2025-01-01,ST02,P022,1,211.96,0.0,211.96
SL0000052,2025-01-01,ST03,P022,1,211.96,0.0,211.96
SL0000053,2025-01-01,ST01,P023,3,74.49,0.15,189.95
SL0000054,2025-01-01,ST04,P023,1,74.49,0.0,74.49
SL0000055,2025-01-01,ST05,P023,2,74.49,0.15,126.63
SL0000056,2025-01-01,ST02,P024,2,97.74,0.0,195.48
SL0000057,2025-01-01,ST03,P024,2,97.74,0.0,195.48
SL0000058,2025-01-01,ST05,P024,2,97.74,0.0,195.48
SL0000059,2025-01-01,ST01,P025,1,28.92,0.0,28.92
SL0000060,2025-01-01,ST03,P025,2,28.92,0.0,57.84
SL0000061,2025-01-01,ST05,P025,3,28.92,0.0,86.76
SL0000062,2025-01-01,ST03,P026,1,309.01,0.0,309.01
SL0000063,2025-01-01,ST01,P027,1,374.73,0.0,374.73
SL0000064,2025-01-01,ST02,P027,1,374.73,0.0,374.73
SL0000065,2025-01-01,ST05,P027,1,374.73,0.0,374.73
SL0000066,2025-01-01,ST01,P028,1,402.15,0.0,402.15
SL0000067,2025-01-01,ST02,P028,6,402.15,0.0,2412.9
SL0000068,2025-01-01,ST03,P028,2,402.15,0.0,804.3
SL0000069,2025-01-01,ST04,P028,1,402.15,0.0,402.15
SL0000070,2025-01-01,ST05,P028,4,402.15,0.0,1608.6
SL0000071,2025-01-01,ST05,P029,1,267.81,0.0,267.81
SL0000072,2025-01-01,ST02,P030,4,114.88,0.2,367.62
SL0000073,2025-01-01,ST01,P033,1,96.03,0.0,96.03
SL0000074,2025-01-01,ST03,P033,1,96.03,0.0,96.03
SL0000075,2025-01-01,ST05,P033,1,96.03,0.0,96.03
SL0000076,2025-01-01,ST01,P034,2,186.14,0.15,316.44
SL0000077,2025-01-01,ST02,P034,1,186.14,0.0,186.14
SL0000078,2025-01-01,ST04,P034,1,186.14,0.15,158.22
SL0000079,2025-01-01,ST05,P034,1,186.14,0.0,186.14
SL0000080,2025-01-01,ST01,P035,1,235.26,0.0,235.26
SL0000081,2025-01-01,ST01,P036,2,241.71,0.0,483.42
SL0000082,2025-01-01,ST02,P036,1,241.71,0.0,241.71
SL0000083,2025-01-01,ST04,P036,2,241.71,0.0,483.42
SL0000084,2025-01-01,ST01,P037,1,156.54,0.0,156.54
SL0000085,2025-01-01,ST05,P037,1,156.54,0.0,156.54
